time                   Mass                   Q                   dMdt                dQdt                    fM                      hM                      delta_t               
20234773698.38822      3018640355623327.5     0.1994058641859711  -1867618987.2415366 -4.992047822329552e-08  3.020786103635721e+111  4.243103179788952e+111  5976.282095940035     
20234779674.67032      3007478909852668.0     0.19911356264560431 -1881511732.9956334 -4.938434314659732e-08  3.0207936425087153e+111 4.218375358496959e+111  5976.282095940035     
20234785650.952415     2996234437339745.0     0.19882458648421408 -1895665020.8022597 -4.882930817902802e-08  3.020801065168076e+111  4.1933927330399184e+111 5976.282095940035     
20234791627.234512     2984905381020346.5     0.19853905228797653 -1910086747.647513  -4.825458249713087e-08  3.0208083700211807e+111 4.1681513728370436e+111 5976.282095940035     
20234797603.51661      2973490136636173.0     0.19825708151662144 -1924785143.0456607 -4.765933382863603e-08  3.02081555538997e+111   4.142647266697272e+111  5976.282095940035     
20234803579.798706     2961987050747588.0     0.19797880075876048 -1939768787.0515869 -4.704268580055661e-08  3.020822619505848e+111  4.1168763207767656e+111 5976.282095940035     
20234809556.080803     2950394418638730.5     0.19770434200354636 -1955046629.4710739 -4.640371508548467e-08  3.020829560504225e+111  4.090834356475912e+111  5976.282095940035     
20234815532.3629       2938710482107823.5     0.19743384292990596 -1970628010.3636606 -4.574144832820938e-08  3.020836376418643e+111  4.064517108274e+111     5976.282095940035     
20234821508.644997     2926933427134954.0     0.19716744721469925 -1986522681.9415987 -4.505485883296112e-08  3.020843065174479e+111  4.037920221499675e+111  5976.282095940035     
20234827484.927094     2915061381418983.5     0.19690530486127833 -2002740831.9780138 -4.434286298955412e-08  3.020849624582184e+111  4.011039250035011e+111  5976.282095940035     
20234833461.20919      2903092411774569.5     0.19662828350601425 -2019293108.848062  -4.686312677316839e-08  3.0208560523300007e+111 4.05594292906262e+111   5976.282095940035     
20234839437.491287     2891024519501990.5     0.19635567618612748 -2036190967.7780063 -4.612444493138363e-08  3.0208628159678397e+111 4.0283788454404863e+111 5976.282095940035     
20234845413.773384     2878855641182326.5     0.19608765007465376 -2053445749.4095416 -4.535743214981964e-08  3.020869442886275e+111  4.000510161388138e+111  5976.282095940035     
20234851390.05548      2866583643759771.0     0.1958243800653417  -2071069653.0840924 -4.456076379910346e-08  3.02087593052761e+111   3.9723318408991373e+111 5976.282095940035     
20234857366.337578     2854206321272829.0     0.19556604922203427 -2089075458.1886342 -4.373303716676592e-08  3.020882276184975e+111  3.943838737553539e+111  5976.282095940035     
20234863342.619675     2841721391387877.0     0.19531284926007478 -2107476559.683469  -4.2872765819964194e-08 3.020888476992318e+111  3.9150255915453187e+111 5976.282095940035     
20234869318.90177      2829126491720416.0     0.19506498106245812 -2126287006.3052616 -4.197837348301138e-08  3.020894529913481e+111  3.885887026617849e+111  5976.282095940035     
20234875295.18387      2816419175928010.0     0.19482265523371645 -2145521541.6854444 -4.104818738097802e-08  3.020900431730409e+111  3.856417546904587e+111  5976.282095940035     
20234881271.465965     2803596909557509.5     0.19458609269482943 -2165195648.649129  -4.0080430995020936e-08 3.020906179030419e+111  3.8266115336721284e+111 5976.282095940035     
20234887247.748062     2790657065627534.0     0.19435552532278375 -2185325596.987628  -3.907321616873226e-08  3.0209117681922786e+111 3.796463241962322e+111  5976.282095940035     
20234893224.03016      2777596919925468.5     0.19413119663878023 -2205928495.02944   -3.802453449761552e-08  3.0209171953711943e+111 3.7659667971305715e+111 5976.282095940035     
20234899200.312256     2764413645996265.5     0.19391336254950584 -2227022345.369667  -3.693224792563469e-08  3.020922456482408e+111  3.7351161912769214e+111 5976.282095940035     
